MTT_ADJ;Montserrat;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GDP;Guadeloupe;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GDP_ADJ;Guadeloupe;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DMC;Dominica;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
DMC_ADJ;Dominica;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SLA;Saint Lucia;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SLA_ADJ;Saint Lucia;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SVC;Saint Vincent;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SVC_ADJ;Saint Vincent;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GRD;Grenada;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GRD_ADJ;Grenada;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRB;Barbados;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRB_ADJ;Barbados;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CNI;Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
CNI_ADJ;Cayman Islands;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRM;Bermuda;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
BRM_ADJ;Bermuda;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SUR;Suriname;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
SUR_ADJ;Suriname;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GUE;Guyane;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
GUE_ADJ;Guyane;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;x;;;;;;;;;;;;;;;;
